1,2
1,8
10,6
10,8
11,1
11,2
12,1
12,11
13,1
13,1
14,2
14,3
15,2
15,8
16,2
16,3
17,3
17,12
18,1
18,12
19,11
19,19
20,6
20,14
20,15
20,15
24,6
24,13
24,14
24,15
25,6
25,15
26,13
26,14
27,6
27,13
28,6
28,15
29,6
29,14
29,15
3,6
3,14
3,15
30,13
30,14
30,15
1,2
1,8
10,6
10,8
11,1
11,2
12,1
12,11
13,1
13,1
14,2
14,3
15,2
15,8
16,2
16,3
17,3
17,12
18,1
18,12
19,11
19,19
20,6
20,14
20,15
20,15
24,6
24,13
24,14
24,15
25,6
25,15
26,13
26,14
27,6
27,13
28,6
28,15
29,6
29,14
29,15
3,6
3,14
3,15
30,13
30,14
30,15
1,2
1,8
10,6
10,8
11,1
11,2
12,1
12,11
13,1
13,1
14,2
14,3
15,2
15,8
16,2
16,3
17,3
17,12
18,1
18,12
19,11
19,19
20,6
20,14
20,15
20,15
24,6
24,13
24,14
24,15
25,6
25,15
26,13
26,14
27,6
27,13
28,6
28,15
29,6
29,14
29,15
3,6
3,14
3,15
30,13
30,14
30,15
1,2
1,8
10,6
10,8
11,1
11,2
12,1
12,11
13,1
13,1
14,2
14,3
15,2
15,8
16,2
16,3
17,3
17,12
18,1
18,12
19,11
19,19
20,6
20,14
20,15
20,15
24,6
24,13
24,14
24,15
25,6
25,15
26,13
26,14
27,6
27,13
28,6
28,15
29,6
29,14
29,15
3,6
3,14
3,15
30,13
30,14
30,15
1,2
1,8
10,6
10,8
11,1
11,2
12,1
12,11
13,1
13,1
14,2
14,3
15,2
15,8
16,2
16,3
17,3
17,12
18,1
18,12
19,11
19,19
20,6
20,14
20,15
20,15
24,6
24,13
24,14
24,15
25,6
25,15
26,13
26,14
27,6
27,13
28,6
28,15
29,6
29,14
29,15
3,6
3,14
3,15
30,13
30,14
30,15
1,2
1,8
10,6
10,8
11,1
11,2
12,1
12,11
13,1
13,1
14,2
14,3
15,2
15,8
16,2
16,3
17,3
17,12
18,1
18,12
19,11
19,19
20,6
20,14
20,15
20,15
24,6
24,13
24,14
24,15
25,6
25,15
26,13
26,14
27,6
27,13
28,6
28,15
29,6
29,14
29,15
3,6
3,14
3,15
30,13
30,14
30,15
1,2
1,8
10,6
10,8
11,1
11,2
12,1
12,11
13,1
13,1
14,2
14,3
15,2
15,8
16,2
16,3
17,3
17,12
18,1
18,12
19,11
19,19
20,6
20,14
20,15
20,15
24,6
24,13
24,14
24,15
25,6
25,15
26,13
26,14
27,6
27,13
28,6
28,15
29,6
29,14
29,15
3,6
3,14
3,15
30,13
30,14
30,15
1,2
1,8
10,6
10,8
11,1
11,2
12,1
12,11
13,1
13,1
14,2
14,3
15,2
15,8
16,2
16,3
17,3
17,12
18,1
18,12
19,11
19,19
20,6
20,14
20,15
20,15
24,6
24,13
24,14
24,15
25,6
25,15
26,13
26,14
27,6
27,13
28,6
28,15
29,6
29,14
29,15
3,6
3,14
3,15
30,13
30,14
30,15
1,2
1,8
10,6
10,8
11,1
11,2
12,1
12,11
13,1
13,1
14,2
14,3
15,2
15,8
16,2
16,3
17,3
17,12
18,1
18,12
19,11
19,19
20,6
20,14
20,15
20,15
24,6
24,13
24,14
24,15
25,6
25,15
26,13
26,14
27,6
27,13
28,6
28,15
29,6
29,14
29,15
3,6
3,14
3,15
30,13
30,14
30,15
1,2
1,8
10,6
10,8
11,1
11,2
12,1
12,11
13,1
13,1
14,2
14,3
15,2
15,8
16,2
16,3
17,3
17,12
18,1
18,12
19,11
19,19
20,6
20,14
20,15
20,15
24,6
24,13
24,14
24,15
25,6
25,15
26,13
26,14
27,6
27,13
28,6
28,15
29,6
29,14
29,15
3,6
3,14
3,15
30,13
30,14
30,15
1,2
1,8
10,6
10,8
11,1
11,2
12,1
12,11
13,1
13,1
14,2
14,3
15,2
15,8
16,2
16,3
17,3
17,12
18,1
18,12
19,11
19,19
20,6
20,14
20,15
20,15
24,6
24,13
24,14
24,15
25,6
25,15
26,13
26,14
27,6
27,13
28,6
28,15
29,6
29,14
29,15
3,6
3,14
3,15
30,13
30,14
30,15
1,2
1,8
10,6
10,8
11,1
11,2
12,1
12,11
13,1
13,1
14,2
14,3
15,2
15,8
16,2
16,3
17,3
17,12
18,1
18,12
19,11
19,19
20,6
20,14
20,15
20,15
24,6
24,13
24,14
24,15
25,6
25,15
26,13
26,14
27,6
27,13
28,6
28,15
29,6
29,14
29,15
3,6
3,14
3,15
30,13
30,14
30,15
1,2
1,8
10,6
10,8
11,1
11,2
12,1
12,11
13,1
13,1
14,2
14,3
15,2
15,8
16,2
16,3
17,3
17,12
18,1
18,12
19,11
19,19
20,6
20,14
20,15
20,15
24,6
24,13
24,14
24,15
25,6
25,15
26,13
26,14
27,6
27,13
28,6
28,15
29,6
29,14
29,15
3,6
3,14
3,15
30,13
30,14
30,15
1,2
1,8
10,6
10,8
11,1
11,2
12,1
12,11
13,1
13,1
14,2
14,3
15,2
15,8
16,2
16,3
17,3
17,12
18,1
18,12
19,11
19,19
20,6
20,14
20,15
20,15
24,6
24,13
24,14
24,15
25,6
25,15
26,13
26,14
27,6
27,13
28,6
28,15
29,6
29,14
29,15
3,6
3,14
3,15
30,13
30,14
30,15
1,2
1,8
10,6
10,8
11,1
11,2
12,1
12,11
13,1
13,1
14,2
14,3
15,2
15,8
16,2
16,3
17,3
17,12
18,1
18,12
19,11
19,19
20,6
20,14
20,15
20,15
24,6
24,13
24,14
24,15
25,6
25,15
26,13
26,14
27,6
27,13
28,6
28,15
29,6
29,14
29,15
3,6
3,14
3,15
30,13
30,14
30,15
